STREET,INTERSECTI,ADDRESS,LONG.,LAT.
CHESTNUT ST,40TH ST,CHESTNUT ST & S 40TH ST,-75.20227410020,39.95563137510
WALNUT ST,39TH ST,WALNUT ST & S 39TH ST,-75.20026098560,39.95382173640
WALNUT ST,39TH ST,WALNUT ST & S 39TH ST,-75.20026098560,39.95382173640
BALTIMORE AV,53RD ST,BALTIMORE AVE & S 53RD ST,-75.22944958480,39.94778083530
BALTIMORE AV,53RD ST,BALTIMORE AVE & S 53RD ST,-75.22944958480,39.94778083530
CONSHOHOCKEN AV,W COUNTRY,CONSHOHOCKEN AVE & W COUNTRY CLUB RD,-75.20770675360,40.00271536570
CONSHOHOCKEN AV,W COUNTRY,CONSHOHOCKEN AVE & W COUNTRY CLUB RD,-75.20770675360,40.00271536570
54TH ST,CITY AV,N 54TH ST & CITY AVE,-75.23528612300,39.99708929730
LANCASTER AV,41ST ST,LANCASTER AVE & N 41ST ST,-75.20546777110,39.96509100760
SPRUCE ST,49TH ST,SPRUCE ST & S 49TH ST,-75.22008120870,39.95385042820
CITY AV,BELMONT AV,CITY AVE & BELMONT AVE,-75.22069649210,40.00392560350
GIRARD AV,39TH ST,W GIRARD AVE & N 39TH ST,-75.20173701350,39.97439587800
CITY AV,CONSHOHOCKEN AV,CITY AVE & CONSHOHOCKEN AVE,-75.22641470060,40.00123971170
52ND ST,PINE ST,S 52ND ST & PINE ST,-75.22622412890,39.95352912280
52ND ST,HAVERFORD AV,N 52ND ST & HAVERFORD AVE,-75.22459124710,39.96489703750
HAVERFORD AV,MALVERN AV,HAVERFORD AVE & MALVERN AVE,-75.26305409050,39.97575006620
PARKSIDE AV,49TH ST,PARKSIDE AVE & N 49TH ST,-75.21933368920,39.99217283740
BALTIMORE AV,43RD ST,BALTIMORE AVE & S 43RD ST,-75.20926016360,39.94954275360
BALTIMORE AV,43RD ST,BALTIMORE AVE & S 43RD ST,-75.20926016360,39.94954275360
CITY AV,PRESIDENTIAL BLVD,CITY AVE & PRESIDENTIAL BLVD,-75.21076679720,40.00855247210
CITY AV,PRESIDENTIAL BLVD,CITY AVE & PRESIDENTIAL BLVD,-75.21076679720,40.00855247210
